sampling ratio,method key,method,n,psnr_mag mean,psnr_mag std,ssim_mag mean,ssim_mag std,psnr_real mean,psnr_real std,ssim_real mean,ssim_real std
0.2,admmnet_softthresh,Our model: unrolled ADMM-Net,1434,37.4476,3.5458,0.8973,0.0769,37.497,3.5317,0.9243,0.0591
0.2,classical_cs,Naive CS (single-level wavelet),1434,23.4579,3.0108,0.3919,0.1075,22.9196,3.4878,0.3846,0.1338
0.2,classical_cs_tv,Baseline: classical CS (wavelet + TV),1434,24.0665,3.5885,0.3955,0.0953,23.6877,4.0967,0.3963,0.1371
0.2,zero_filled,Zero-filled input (no reconstruction),1434,23.4118,3.0453,0.3907,0.1096,22.9393,3.5001,0.3868,0.1345
0.3,admmnet_softthresh,Our model: unrolled ADMM-Net,1434,40.3105,4.9074,0.9196,0.0638,40.3852,4.8802,0.949,0.0434
0.3,classical_cs,Naive CS (single-level wavelet),1434,23.8181,3.1938,0.4161,0.1207,23.2947,3.827,0.4012,0.1599
0.3,classical_cs_tv,Baseline: classical CS (wavelet + TV),1434,24.7944,4.1855,0.4347,0.1164,24.4638,4.8552,0.4277,0.1699
0.3,zero_filled,Zero-filled input (no reconstruction),1434,23.7647,3.2308,0.414,0.1238,23.3123,3.8427,0.4029,0.1612
0.5,admmnet_softthresh,Our model: unrolled ADMM-Net,1434,47.902,2.6434,0.9818,0.013,48.1417,2.5528,0.9918,0.0053
0.5,classical_cs,Naive CS (single-level wavelet),1434,26.2539,5.0965,0.5358,0.1384,26.0567,5.3965,0.5221,0.1938
0.5,classical_cs_tv,Baseline: classical CS (wavelet + TV),1434,28.4106,7.4373,0.5531,0.2206,28.3119,7.6819,0.5306,0.2769
0.5,zero_filled,Zero-filled input (no reconstruction),1434,26.2725,5.206,0.5345,0.1441,26.1017,5.5003,0.524,0.1967
