sampling ratio,seed,variant,psnr_real,psnr_imag,ssim_real,ssim_imag,kerr
0.2,0,as trained,39.225936,54.520889,0.95572,0.980877,0.020236
0.2,0,+ exact data consistency,39.312302,52.964634,0.954726,0.975792,0.0
0.2,0,+ real-valued constraint,39.41628,60.434486,0.951568,0.99614,0.0
0.2,1,as trained,39.92429,60.465634,0.968596,0.996844,0.001207
0.2,1,+ exact data consistency,39.925355,60.398099,0.968633,0.996831,0.0
0.2,1,+ real-valued constraint,39.946751,67.913427,0.968118,0.999381,0.0
0.2,2,as trained,33.340631,47.514369,0.848637,0.961839,0.050365
0.2,2,+ exact data consistency,33.355005,47.412498,0.848979,0.961613,0.0
0.2,2,+ real-valued constraint,33.467401,54.274607,0.849524,0.990752,0.0
0.3,0,as trained,40.505802,51.684873,0.962111,0.973384,0.004898
0.3,0,+ exact data consistency,40.503185,51.750421,0.962647,0.974781,2e-06
0.3,0,+ real-valued constraint,40.759002,57.772138,0.95926,0.993286,1e-06
0.3,1,as trained,45.810672,68.497688,0.989923,0.999633,0.000132
0.3,1,+ exact data consistency,45.810746,68.488405,0.98992,0.999633,0.0
0.3,1,+ real-valued constraint,45.823488,76.044684,0.989855,0.999937,0.0
0.3,2,as trained,34.839146,47.148056,0.894852,0.952167,0.052687
0.3,2,+ exact data consistency,34.877821,46.866271,0.895043,0.9497,3e-06
0.3,2,+ real-valued constraint,35.025978,54.692694,0.898144,0.992631,0.0
0.5,0,as trained,46.234393,52.644725,0.986696,0.969632,0.010007
0.5,0,+ exact data consistency,46.484099,51.967282,0.987217,0.966407,0.0
0.5,0,+ real-valued constraint,47.138793,59.879033,0.988298,0.995848,0.0
0.5,1,as trained,50.310602,75.343459,0.996157,0.999939,8.3e-05
0.5,1,+ exact data consistency,50.310675,75.336436,0.996157,0.99994,0.0
0.5,1,+ real-valued constraint,50.317941,83.392737,0.996151,0.999992,0.0
0.5,2,as trained,47.880254,54.050246,0.992665,0.98656,0.001307
0.5,2,+ exact data consistency,47.883528,54.04582,0.992454,0.986699,0.0
0.5,2,+ real-valued constraint,48.679162,60.482866,0.993492,0.997033,0.0
