sampling ratio,seed,stage,dead fraction,mean PSNR gain (dB),n slices
0.2,0,1,1.0,0.0,96
0.2,0,2,0.0,0.1782,96
0.2,0,3,0.0,4.1847,96
0.2,0,4,0.0,2.741,96
0.2,0,5,1.0,-0.0397,96
0.2,0,6,0.0,3.7517,96
0.2,0,7,0.0,7.3903,96
0.2,0,8,0.0,0.017,96
0.2,1,1,0.0,-5.2008,96
0.2,1,2,0.0,-1.5247,96
0.2,1,3,0.0,5.709,96
0.2,1,4,0.0,1.2037,96
0.2,1,5,0.0,7.4167,96
0.2,1,6,0.0,0.4979,96
0.2,1,7,0.0,4.5902,96
0.2,1,8,0.0,0.4884,96
0.2,2,1,1.0,0.0,96
0.2,2,2,0.0833,-0.0001,96
0.2,2,3,1.0,-0.0001,96
0.2,2,4,1.0,-0.0001,96
0.2,2,5,0.0,0.726,96
0.2,2,6,0.0,1.3115,96
0.2,2,7,0.0,2.3263,96
0.2,2,8,0.0,9.096,96
0.3,0,1,0.0,0.0345,96
0.3,0,2,0.6458,-0.0015,96
0.3,0,3,1.0,-0.0006,96
0.3,0,4,1.0,-0.0003,96
0.3,0,5,1.0,-0.0001,96
0.3,0,6,0.0,4.7537,96
0.3,0,7,0.0,2.3636,96
0.3,0,8,0.0,12.0997,96
0.3,1,1,0.0,3.5593,96
0.3,1,2,0.0,-7.8952,96
0.3,1,3,0.0,5.728,96
0.3,1,4,0.0,7.7365,96
0.3,1,5,0.0,5.9016,96
0.3,1,6,0.0,1.2199,96
0.3,1,7,0.0,1.7857,96
0.3,1,8,0.0,0.2343,96
0.3,2,1,0.0938,0.0016,96
0.3,2,2,0.3438,-0.0001,96
0.3,2,3,1.0,-0.0001,96
0.3,2,4,1.0,-0.0001,96
0.3,2,5,0.0,1.385,96
0.3,2,6,0.0,2.835,96
0.3,2,7,0.0,0.0041,96
0.3,2,8,0.0,10.4139,96
0.5,0,1,0.0,0.429,96
0.5,0,2,0.7812,0.0349,96
0.5,0,3,1.0,0.0044,96
0.5,0,4,1.0,0.0003,96
0.5,0,5,0.0,7.6846,96
0.5,0,6,0.0,1.7491,96
0.5,0,7,0.0,13.6691,96
0.5,0,8,0.0,0.5534,96
0.5,1,1,0.0,0.3449,96
0.5,1,2,1.0,0.0632,96
0.5,1,3,0.0,-1.7134,96
0.5,1,4,0.0,4.5939,96
0.5,1,5,0.0,11.4761,96
0.5,1,6,0.0,2.6271,96
0.5,1,7,0.0,0.2834,96
0.5,1,8,0.0,0.0243,96
0.5,2,1,1.0,-0.0,96
0.5,2,2,0.0729,-0.0,96
0.5,2,3,0.7396,-0.0,96
0.5,2,4,1.0,-0.0,96
0.5,2,5,0.0,7.0411,96
0.5,2,6,0.0,12.7188,96
0.5,2,7,0.0,3.9891,96
0.5,2,8,0.0,2.2961,96
